roman,sinhala
amma,අම්මා
thaththa,තාත්තා
mage,මගේ
mama,මම
api,අපි
oya,ඔයා
saman,සමන්
kamal,කමල්
nimal,නිමල්
sunil,සුනිල්
gedara,ගෙදර
kawda,කවුද
hari,හරි
kohomada,කොහොමද
pasala,පාසල
guruwaraya,ගුරුවරයා
lamaya,ළමයා
potha,පොත
duwa,දුව
putha,පුතා
yaluwa,යාලුවා
ammai,අම්මයි
thaththai,තාත්තයි
ratta,රට
gama,ගම
watura,වතුර
bath,බත්
kema,කෑම
dawasa,දවස
raathriya,රාත්‍රිය
uthsawaya,උත්සවය
nangi,නංගි
malli,මල්ලි
akka,අක්කා
aiya,අයියා
yogyathama,යෝග්‍යතම
yogyatha,යෝග්‍යතා
yogya,යෝග්‍ය
yogini,යෝගිනී
yoghurt,යෝගට්
yoghat,යෝගට්
yogee,යෝගී
yogayehi,යෝගයෙහි
yogaya,යෝගය
yogat,යෝගට්
yogacharyabhumi,යෝගාචාර්යභූමි
yoga,යෝග
yodun,යොදුන්
yodhagene,යොදාගැනේ
yodha,යෝධ
yodayange,යෝධයන්ගේ
yodayaku,යෝධයකු
yodaya,යොදය
yodawanu,යොදවනු
yodawanne,යොදවන්නෙ
yodawana,යොදවන
yodawa,යොදවා
yodana,යොදන
yodamin,යොදමින්
yodai,යොදයි
yodagenim,යොදාගැනිම්
yodagene,යොදාගැනේ
yodagena,යොදාගෙන
yodagatha,යොදාගත
yodagath wita,යොදා ගත්විට
yodagath,යොදාගත්
yodaganune,යොදාගැනුනේ
yodaganu,යොදාගනු
yodaganna,යොදාගන්නා
yodaganiti,යොදාගනිති
yodaganini,යොදාගැනිණි
yodaganimin,යොදාගනිමින්
yodaganimata,යොදාගැනීමට
yodaganima,යොදාගැනීම
yodagani,යොදාගනී
yodaganeema,යොදාගැනීම
yodaganee,යොදාගනී
yodaageniimen,යෙදාගැනීමෙන්
yodaageniimata,යොදාගැනිමට
yodaagatha,යොදාගත
yodaaganii,යොදාගනී
yodaa,යොදා
yoda,යොදා
yochif,යොචිෆ්
yo,යො
ynwa,යනව
ynnesupiri,යන්නේසුපිරි
ynne,යන්නෙ
ynna,යන්න
ynn,යන්න
ynkm,යනකම්
yna,යන
ymak,යමක්
ylukmk,යාලුකමටත්
ylu,යාලු
ykow,යකූ
yko,යකො
yithuyi,යුතුයි
